id,text,type,topic,target_valence,length_char,notes
A094,"도심 도로, 효율 증가… 다만 혼잡 우려",amb,생활,0.13,22,양가 단서
A095,"헬스장 정책, 편의 상승… 다만 제약 증가",amb,건강,0.0,23,양가 단서
A096,"연구 프로젝트, 효율 증가… 다만 비용 인상",amb,과학,-0.04,24,양가 단서
A097,"커리큘럼 개편, 호응 확대… 다만 비용 인상",amb,교육,0.1,24,양가 단서
A098,"관광 패스, 만족도 개선… 다만 불편 호소",amb,여가,-0.14,23,양가 단서
A099,"지원 제도, 만족도 개선… 다만 제약 증가",amb,경제,-0.02,23,양가 단서
A100,"모바일 기기, 편의 상승… 다만 비용 인상",amb,기술,-0.07,23,양가 단서
A101,"도심 도로, 접근성 향상… 다만 학습 곡선",amb,생활,0.01,23,양가 단서
A102,"운동 캠페인, 호응 확대… 다만 불편 호소",amb,건강,-0.06,23,양가 단서
A103,"신형 분석기, 만족도 개선… 다만 제약 증가",amb,과학,0.04,24,양가 단서
A104,"연구실 운영, 효율 증가… 다만 비용 인상",amb,교육,-0.12,23,양가 단서
A105,"체험 행사, 접근성 향상… 다만 학습 곡선",amb,여가,-0.15,23,양가 단서
A106,"비용 구조, 접근성 향상… 다만 불편 호소",amb,경제,0.07,23,양가 단서
A107,"새 업데이트, 효율 증가… 다만 비용 인상",amb,기술,0.03,23,양가 단서
A108,"도심 도로, 접근성 향상… 다만 제약 증가",amb,생활,-0.09,23,양가 단서
A109,"운동 캠페인, 접근성 향상… 다만 혼잡 우려",amb,건강,-0.13,24,양가 단서
A110,"연구실 운영, 접근성 향상… 다만 비용 인상",amb,교육,-0.03,24,양가 단서
A111,"체험 행사, 편의 상승… 다만 제약 증가",amb,여가,0.14,22,양가 단서
A112,"상권 재편, 편의 상승… 다만 혼잡 우려",amb,경제,0.09,22,양가 단서
A113,"새 업데이트, 만족도 개선… 다만 비용 인상",amb,기술,0.08,24,양가 단서
A114,"새 단지, 만족도 개선… 다만 비용 인상",amb,생활,-0.04,22,양가 단서
A115,"검진 제도, 만족도 개선… 다만 제약 증가",amb,건강,0.14,23,양가 단서
A116,"도서관 규정, 편의 상승… 다만 혼잡 우려",amb,교육,-0.09,23,양가 단서
A117,"전시 일정, 편의 상승… 다만 혼잡 우려",amb,여가,0.13,22,양가 단서
A118,"비용 구조, 효율 증가… 다만 학습 곡선",amb,경제,-0.01,22,양가 단서
A119,"모바일 기기, 만족도 개선… 다만 혼잡 우려",amb,기술,-0.04,24,양가 단서
A120,"지역 축제, 호응 확대… 다만 혼잡 우려",amb,생활,-0.11,22,양가 단서
A121,"검진 제도, 효율 증가… 다만 제약 증가",amb,건강,0.07,22,양가 단서
A122,"도서관 규정, 호응 확대… 다만 학습 곡선",amb,교육,-0.07,23,양가 단서
A123,"야외 공연, 효율 증가… 다만 비용 인상",amb,여가,-0.02,22,양가 단서
A124,"가격 정책, 접근성 향상… 다만 혼잡 우려",amb,경제,-0.05,23,양가 단서
A125,"모바일 기기, 호응 확대… 다만 혼잡 우려",amb,기술,-0.06,23,양가 단서
A126,"공원 시설, 효율 증가… 다만 불편 호소",amb,생활,0.06,22,양가 단서
A127,"검진 제도, 효율 증가… 다만 비용 인상",amb,건강,0.07,22,양가 단서
A128,"커리큘럼 개편, 편의 상승… 다만 제약 증가",amb,교육,-0.04,24,양가 단서
A129,"전시 일정, 편의 상승… 다만 불편 호소",amb,여가,0.1,22,양가 단서
A130,"지원 제도, 편의 상승… 다만 불편 호소",amb,경제,-0.13,22,양가 단서
A131,"새 업데이트, 호응 확대… 다만 제약 증가",amb,기술,0.13,23,양가 단서
A132,"지역 축제, 접근성 향상… 다만 불편 호소",amb,생활,0.05,23,양가 단서
A133,"검진 제도, 호응 확대… 다만 제약 증가",amb,건강,0.08,22,양가 단서
A134,"관측 계획, 만족도 개선… 다만 학습 곡선",amb,과학,-0.04,23,양가 단서
A135,"평가 제도, 호응 확대… 다만 불편 호소",amb,교육,0.14,22,양가 단서
A136,"야외 공연, 만족도 개선… 다만 제약 증가",amb,여가,0.01,23,양가 단서
A137,"비용 구조, 편의 상승… 다만 혼잡 우려",amb,경제,0.08,22,양가 단서
A138,"공공 서비스, 만족도 개선… 다만 비용 인상",amb,생활,-0.11,24,양가 단서
A139,"운동 캠페인, 효율 증가… 다만 불편 호소",amb,건강,0.12,23,양가 단서
A140,"비용 구조, 만족도 개선… 다만 비용 인상",amb,경제,0.15,23,양가 단서
A141,"보안 정책, 만족도 개선… 다만 제약 증가",amb,기술,-0.14,23,양가 단서
A142,"신형 분석기, 호응 확대… 다만 제약 증가",amb,과학,0.15,23,양가 단서
A143,"도서관 규정, 접근성 향상… 다만 제약 증가",amb,교육,0.08,24,양가 단서
A144,"공연 좌석, 편의 상승… 다만 불편 호소",amb,여가,0.14,22,양가 단서
A145,"소비 트렌드, 효율 증가… 다만 제약 증가",amb,경제,0.05,23,양가 단서
A146,"새 업데이트, 만족도 개선… 다만 학습 곡선",amb,기술,0.04,24,양가 단서
A147,"도심 도로, 만족도 개선… 다만 제약 증가",amb,생활,0.0,23,양가 단서
A148,"운동 캠페인, 편의 상승… 다만 학습 곡선",amb,건강,-0.1,23,양가 단서
A149,"강의 방식, 호응 확대… 다만 학습 곡선",amb,교육,0.12,22,양가 단서
A150,"비용 구조, 호응 확대… 다만 불편 호소",amb,경제,0.04,22,양가 단서
A151,"관측 계획, 편의 상승… 다만 비용 인상",amb,과학,-0.13,22,양가 단서
A152,"연구실 운영, 호응 확대… 다만 불편 호소",amb,교육,0.08,23,양가 단서
A153,"체험 행사, 접근성 향상… 다만 비용 인상",amb,여가,-0.0,23,양가 단서
A154,"비용 구조, 호응 확대… 다만 혼잡 우려",amb,경제,-0.01,22,양가 단서
A155,"클라우드 요금, 호응 확대… 다만 제약 증가",amb,기술,-0.13,24,양가 단서
A156,"지역 축제, 만족도 개선… 다만 제약 증가",amb,생활,-0.03,23,양가 단서
A157,"헬스장 정책, 만족도 개선… 다만 혼잡 우려",amb,건강,0.03,24,양가 단서
A158,"데이터 공개, 호응 확대… 다만 혼잡 우려",amb,과학,0.14,23,양가 단서
A159,"관광 패스, 만족도 개선… 다만 제약 증가",amb,여가,-0.11,23,양가 단서
A160,"지원 제도, 만족도 개선… 다만 불편 호소",amb,경제,-0.12,23,양가 단서
A161,"새 업데이트, 효율 증가… 다만 학습 곡선",amb,기술,-0.02,23,양가 단서
A162,"도심 도로, 호응 확대… 다만 학습 곡선",amb,생활,0.07,22,양가 단서
A163,"커리큘럼 개편, 효율 증가… 다만 학습 곡선",amb,교육,-0.01,24,양가 단서
A164,"소비 트렌드, 호응 확대… 다만 제약 증가",amb,경제,0.03,23,양가 단서
A165,"클라우드 요금, 호응 확대… 다만 학습 곡선",amb,기술,-0.15,24,양가 단서
A166,"지역 축제, 효율 증가… 다만 불편 호소",amb,생활,0.11,22,양가 단서
A167,"검진 제도, 효율 증가… 다만 혼잡 우려",amb,건강,-0.14,22,양가 단서
A168,"신형 분석기, 접근성 향상… 다만 학습 곡선",amb,과학,-0.09,24,양가 단서
A169,"연구실 운영, 호응 확대… 다만 비용 인상",amb,교육,-0.03,23,양가 단서
A170,"체험 행사, 접근성 향상… 다만 혼잡 우려",amb,여가,0.1,23,양가 단서
A171,"비용 구조, 접근성 향상… 다만 비용 인상",amb,경제,-0.11,23,양가 단서
A172,"모바일 기기, 효율 증가… 다만 혼잡 우려",amb,기술,0.09,23,양가 단서
A173,"신형 분석기, 편의 상승… 다만 비용 인상",amb,과학,-0.11,23,양가 단서
A174,"평가 제도, 효율 증가… 다만 학습 곡선",amb,교육,-0.01,22,양가 단서
A175,"공연 좌석, 접근성 향상… 다만 불편 호소",amb,여가,-0.05,23,양가 단서
A176,"네트워크 규칙, 호응 확대… 다만 학습 곡선",amb,기술,-0.05,24,양가 단서
A177,"신형 분석기, 효율 증가… 다만 학습 곡선",amb,과학,-0.06,23,양가 단서
A178,"비용 구조, 효율 증가… 다만 불편 호소",amb,경제,0.01,22,양가 단서
A179,"네트워크 규칙, 효율 증가… 다만 불편 호소",amb,기술,0.1,24,양가 단서
A180,"도심 도로, 편의 상승… 다만 학습 곡선",amb,생활,0.13,22,양가 단서
A181,"운동 캠페인, 만족도 개선… 다만 비용 인상",amb,건강,-0.02,24,양가 단서
A182,"도서관 규정, 접근성 향상… 다만 학습 곡선",amb,교육,0.13,24,양가 단서
A183,"야외 공연, 만족도 개선… 다만 학습 곡선",amb,여가,-0.09,23,양가 단서
A184,"상권 재편, 효율 증가… 다만 학습 곡선",amb,경제,-0.04,22,양가 단서
A185,"보안 정책, 효율 증가… 다만 학습 곡선",amb,기술,-0.05,22,양가 단서
A186,"새 단지, 호응 확대… 다만 학습 곡선",amb,생활,-0.0,21,양가 단서
A187,"식습관 가이드, 호응 확대… 다만 학습 곡선",amb,건강,-0.06,24,양가 단서
A188,"데이터 공개, 호응 확대… 다만 불편 호소",amb,과학,0.06,23,양가 단서
A189,"관광 패스, 호응 확대… 다만 비용 인상",amb,여가,0.02,22,양가 단서
A190,"비용 구조, 효율 증가… 다만 제약 증가",amb,경제,0.1,22,양가 단서
A191,"보안 정책, 호응 확대… 다만 비용 인상",amb,기술,-0.06,22,양가 단서
A192,"지역 축제, 호응 확대… 다만 제약 증가",amb,생활,0.05,22,양가 단서
A193,"헬스장 정책, 만족도 개선… 다만 불편 호소",amb,건강,0.1,24,양가 단서
A194,"데이터 공개, 접근성 향상… 다만 혼잡 우려",amb,과학,-0.11,24,양가 단서
A195,"연구실 운영, 접근성 향상… 다만 불편 호소",amb,교육,-0.08,24,양가 단서
A196,"공연 좌석, 만족도 개선… 다만 불편 호소",amb,여가,-0.13,23,양가 단서
A197,"지원 제도, 호응 확대… 다만 제약 증가",amb,경제,-0.12,22,양가 단서
A198,"보안 정책, 편의 상승… 다만 학습 곡선",amb,기술,0.14,22,양가 단서
A199,"도심 도로, 효율 증가… 다만 제약 증가",amb,생활,-0.01,22,양가 단서
A200,"식습관 가이드, 호응 확대… 다만 혼잡 우려",amb,건강,-0.06,24,양가 단서
A201,"신형 분석기, 편의 상승… 다만 학습 곡선",amb,과학,-0.08,23,양가 단서
A202,"전시 일정, 편의 상승… 다만 제약 증가",amb,여가,0.09,22,양가 단서
A203,"가격 정책, 호응 확대… 다만 비용 인상",amb,경제,-0.15,22,양가 단서
A204,"커리큘럼 개편, 호응 확대… 다만 불편 호소",amb,교육,0.07,24,양가 단서
A205,"관광 패스, 만족도 개선… 다만 비용 인상",amb,여가,0.07,23,양가 단서
A206,"상권 재편, 접근성 향상… 다만 불편 호소",amb,경제,-0.1,23,양가 단서
A207,"클라우드 요금, 효율 증가… 다만 학습 곡선",amb,기술,-0.05,24,양가 단서
A208,"공공 서비스, 편의 상승… 다만 불편 호소",amb,생활,0.14,23,양가 단서
A209,"헬스장 정책, 호응 확대… 다만 불편 호소",amb,건강,-0.15,23,양가 단서
A210,"평가 제도, 호응 확대… 다만 학습 곡선",amb,교육,0.07,22,양가 단서
A211,"야외 공연, 호응 확대… 다만 혼잡 우려",amb,여가,0.06,22,양가 단서
A212,"소비 트렌드, 편의 상승… 다만 제약 증가",amb,경제,-0.06,23,양가 단서
A213,"식습관 가이드, 효율 증가… 다만 불편 호소",amb,건강,-0.01,24,양가 단서
A214,"관측 계획, 호응 확대… 다만 제약 증가",amb,과학,0.06,22,양가 단서
A215,"도서관 규정, 접근성 향상… 다만 불편 호소",amb,교육,0.08,24,양가 단서
A216,"상권 재편, 편의 상승… 다만 학습 곡선",amb,경제,-0.12,22,양가 단서
A217,"도심 도로, 만족도 개선… 다만 혼잡 우려",amb,생활,0.11,23,양가 단서
A218,"헬스장 정책, 편의 상승… 다만 불편 호소",amb,건강,0.07,23,양가 단서
A219,"커리큘럼 개편, 효율 증가… 다만 불편 호소",amb,교육,0.0,24,양가 단서
A220,"상권 재편, 편의 상승… 다만 제약 증가",amb,경제,-0.07,22,양가 단서
A221,"모바일 기기, 만족도 개선… 다만 학습 곡선",amb,기술,-0.13,24,양가 단서
A222,"공공 서비스, 호응 확대… 다만 비용 인상",amb,생활,0.01,23,양가 단서
A223,"운동 캠페인, 편의 상승… 다만 제약 증가",amb,건강,-0.14,23,양가 단서
A224,"비용 구조, 만족도 개선… 다만 혼잡 우려",amb,경제,-0.11,23,양가 단서
A225,"네트워크 규칙, 효율 증가… 다만 학습 곡선",amb,기술,-0.11,24,양가 단서
A226,"도심 도로, 편의 상승… 다만 비용 인상",amb,생활,0.14,22,양가 단서
A227,"헬스장 정책, 접근성 향상… 다만 제약 증가",amb,건강,0.01,24,양가 단서
A228,"평가 제도, 만족도 개선… 다만 비용 인상",amb,교육,-0.14,23,양가 단서
A229,"소비 트렌드, 편의 상승… 다만 학습 곡선",amb,경제,-0.14,23,양가 단서
A230,"네트워크 규칙, 편의 상승… 다만 불편 호소",amb,기술,0.07,24,양가 단서
A231,"공공 서비스, 효율 증가… 다만 불편 호소",amb,생활,0.01,23,양가 단서
A232,"운동 캠페인, 만족도 개선… 다만 학습 곡선",amb,건강,0.15,24,양가 단서
A233,"평가 제도, 만족도 개선… 다만 혼잡 우려",amb,교육,0.11,23,양가 단서
A234,"공연 좌석, 만족도 개선… 다만 제약 증가",amb,여가,-0.06,23,양가 단서
A235,"새 단지, 효율 증가… 다만 학습 곡선",amb,생활,-0.05,21,양가 단서
A236,"헬스장 정책, 효율 증가… 다만 불편 호소",amb,건강,-0.06,23,양가 단서
A237,"강의 방식, 호응 확대… 다만 불편 호소",amb,교육,0.09,22,양가 단서
A238,"야외 공연, 접근성 향상… 다만 제약 증가",amb,여가,0.14,23,양가 단서
A239,"새 업데이트, 만족도 개선… 다만 혼잡 우려",amb,기술,0.04,24,양가 단서
A240,"식습관 가이드, 편의 상승… 다만 혼잡 우려",amb,건강,-0.04,24,양가 단서
A241,"관측 계획, 접근성 향상… 다만 비용 인상",amb,과학,0.11,23,양가 단서
A242,"강의 방식, 접근성 향상… 다만 학습 곡선",amb,교육,-0.08,23,양가 단서
A243,"전시 일정, 호응 확대… 다만 혼잡 우려",amb,여가,0.14,22,양가 단서
A244,"소비 트렌드, 만족도 개선… 다만 불편 호소",amb,경제,0.14,24,양가 단서
A245,"모바일 기기, 효율 증가… 다만 불편 호소",amb,기술,0.06,23,양가 단서
A246,"도심 도로, 효율 증가… 다만 불편 호소",amb,생활,0.02,22,양가 단서
A247,"도서관 규정, 효율 증가… 다만 비용 인상",amb,교육,0.09,23,양가 단서
A248,"체험 행사, 호응 확대… 다만 불편 호소",amb,여가,-0.04,22,양가 단서
A249,"지원 제도, 편의 상승… 다만 학습 곡선",amb,경제,0.11,22,양가 단서
A250,"보안 정책, 편의 상승… 다만 혼잡 우려",amb,기술,0.02,22,양가 단서
A251,"식습관 가이드, 호응 확대… 다만 불편 호소",amb,건강,-0.04,24,양가 단서
A252,"연구 프로젝트, 효율 증가… 다만 학습 곡선",amb,과학,0.05,24,양가 단서
A253,"평가 제도, 호응 확대… 다만 제약 증가",amb,교육,0.14,22,양가 단서
A254,"체험 행사, 효율 증가… 다만 불편 호소",amb,여가,0.07,22,양가 단서
A255,"상권 재편, 만족도 개선… 다만 불편 호소",amb,경제,0.07,23,양가 단서
A256,"지역 축제, 접근성 향상… 다만 비용 인상",amb,생활,0.1,23,양가 단서
A257,"운동 캠페인, 편의 상승… 다만 비용 인상",amb,건강,-0.03,23,양가 단서
A258,"연구 프로젝트, 편의 상승… 다만 불편 호소",amb,과학,-0.15,24,양가 단서
A259,"연구실 운영, 효율 증가… 다만 혼잡 우려",amb,교육,-0.13,23,양가 단서
A260,"공연 좌석, 효율 증가… 다만 제약 증가",amb,여가,-0.15,22,양가 단서
A261,"비용 구조, 접근성 향상… 다만 제약 증가",amb,경제,-0.15,23,양가 단서
A262,"지역 축제, 접근성 향상… 다만 제약 증가",amb,생활,0.09,23,양가 단서
A263,"식습관 가이드, 편의 상승… 다만 비용 인상",amb,건강,0.01,24,양가 단서
A264,"모바일 기기, 편의 상승… 다만 제약 증가",amb,기술,-0.04,23,양가 단서
A265,"공원 시설, 효율 증가… 다만 비용 인상",amb,생활,0.04,22,양가 단서
A266,"식습관 가이드, 편의 상승… 다만 제약 증가",amb,건강,0.1,24,양가 단서
A267,"데이터 공개, 접근성 향상… 다만 비용 인상",amb,과학,0.12,24,양가 단서
A268,"공연 좌석, 효율 증가… 다만 혼잡 우려",amb,여가,-0.14,22,양가 단서
A269,"소비 트렌드, 호응 확대… 다만 학습 곡선",amb,경제,0.02,23,양가 단서
A270,"도심 도로, 접근성 향상… 다만 불편 호소",amb,생활,0.08,23,양가 단서
A271,"헬스장 정책, 편의 상승… 다만 혼잡 우려",amb,건강,-0.1,23,양가 단서
A272,"연구실 운영, 호응 확대… 다만 제약 증가",amb,교육,0.08,23,양가 단서
A273,"전시 일정, 편의 상승… 다만 학습 곡선",amb,여가,0.07,22,양가 단서
A274,"상권 재편, 편의 상승… 다만 비용 인상",amb,경제,-0.02,22,양가 단서
A275,"모바일 기기, 호응 확대… 다만 학습 곡선",amb,기술,0.08,23,양가 단서
A276,"공원 시설, 효율 증가… 다만 혼잡 우려",amb,생활,-0.14,22,양가 단서
A277,"관측 계획, 효율 증가… 다만 제약 증가",amb,과학,-0.09,22,양가 단서
A278,"가격 정책, 효율 증가… 다만 불편 호소",amb,경제,0.07,22,양가 단서
A279,"새 업데이트, 호응 확대… 다만 비용 인상",amb,기술,-0.12,23,양가 단서
A280,"새 단지, 효율 증가… 다만 혼잡 우려",amb,생활,0.08,21,양가 단서
A281,"커리큘럼 개편, 편의 상승… 다만 비용 인상",amb,교육,-0.04,24,양가 단서
A282,"야외 공연, 접근성 향상… 다만 학습 곡선",amb,여가,0.09,23,양가 단서
A283,"지원 제도, 편의 상승… 다만 혼잡 우려",amb,경제,-0.03,22,양가 단서
A284,"모바일 기기, 접근성 향상… 다만 불편 호소",amb,기술,0.02,24,양가 단서
A285,"연구 프로젝트, 효율 증가… 다만 혼잡 우려",amb,과학,-0.02,24,양가 단서
A286,"체험 행사, 접근성 향상… 다만 불편 호소",amb,여가,-0.05,23,양가 단서
A287,"상권 재편, 효율 증가… 다만 혼잡 우려",amb,경제,-0.12,22,양가 단서
A288,"도심 도로, 접근성 향상… 다만 비용 인상",amb,생활,0.14,23,양가 단서
A289,"헬스장 정책, 만족도 개선… 다만 제약 증가",amb,건강,0.09,24,양가 단서
A290,"신형 분석기, 효율 증가… 다만 제약 증가",amb,과학,-0.11,23,양가 단서
A291,"새 단지, 접근성 향상… 다만 학습 곡선",amb,생활,0.04,22,양가 단서
A292,"운동 캠페인, 편의 상승… 다만 불편 호소",amb,건강,0.05,23,양가 단서
A293,"데이터 공개, 만족도 개선… 다만 학습 곡선",amb,과학,-0.14,24,양가 단서
A294,"비용 구조, 접근성 향상… 다만 학습 곡선",amb,경제,0.06,23,양가 단서
A295,"보안 정책, 효율 증가… 다만 혼잡 우려",amb,기술,-0.03,22,양가 단서
